key,ticker,name,description,startMoment,endMoment,moreInfo,key:sponsor,draftMode
# ticker - standard variations
sponsorship-00,,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-01,bO46-up1AO,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-02,bb46-up1AO,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-03,BOO46-up1AO,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-04,BO4-up1AO,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-05,BO466-up1AO,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-06,BO46up1AO,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-07,BO46-up1AOPIJK53E4WTGRFDG,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-08,BO46-up1AO$,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-09,BO46-up1AO XA,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-10,BO46-up1AO-XA,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
# name - errata variations
sponsorship-11,QA53-JawvlESI0V,,Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
sponsorship-12,CN00-1EBmwqjCu,"",Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-13,FS25-hz3Yt9,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem",Lorem ipsum dolor sit amet,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
# description - errata variations
sponsorship-14,YN70-aQ_7O4ugF,Lorem ipsum dolor sit amet,,2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-01,true
sponsorship-15,MF13-ckhaa,Lorem ipsum dolor sit amet,"",2025/03/01 00:00,2025/08/01 00:01,http://lorem.com/ipsum,sponsor-02,true
