key,name,notes,expectedPercentage,kind,key:strategy
# name - standard variations
tactic-00,,Lorem ipsum dolor sit amet,50.0,SUBTLE,strategy-00
tactic-01,"",Lorem ipsum dolor sit amet,50.0,SUBTLE,strategy-00
tactic-02,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tem",Lorem ipsum dolor sit amet,50.0,SUBTLE,strategy-00
# notes - standard variations
tactic-03,Lorem ipsum dolor sit amet,,50.0,SUBTLE,strategy-00
tactic-04,Lorem ipsum dolor sit amet,"",50.0,SUBTLE,strategy-00
tactic-05,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor i",50.0,SUBTLE,strategy-00
# expectedPercentage - errata variations
tactic-06,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,,SUBTLE,strategy-00
tactic-07,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,-0.01,SUBTLE,strategy-00
tactic-08,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,100.01,SUBTLE,strategy-00
tactic-09,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,50.00004444,SUBTLE,strategy-00
