key,ticker,name,description,startMoment,endMoment,moreInfo,key:auditor,draftMode
# base entity
auditReport-00,QG14-kJqDXb,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
# ticker - standard variations
auditReport-01,SF17-H5T1J,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
auditReport-02,SF17-H5T1Jn,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
auditReport-03,SF17-H5T1J6yZ9g,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
auditReport-04,SF17-H5T1J6yZ,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-02,true
auditReport-05,SA29-fvLPaYMq04,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-02,true
auditReport-06,RS47-HGA5bhN0Sz,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
auditReport-07,RW91-kyCTx38D,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-02,true
auditReport-08,IQ52-NHGYS,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
auditReport-09,TE88-gXuA8,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
# name - standard variations
auditReport-10,YR14-d1AoI,L,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
auditReport-11,JP54-5RnfgC,Lo,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-02,true
auditReport-12,NP61-zzyY1uF,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te",Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
auditReport-13,NP62-zzyY1uF,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t",Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
auditReport-14,NP63-zzyY1uF,โลเร็ม อิปซัม,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-02,true
auditReport-15,NP64-zyY1uF,لوريم إيبسوم,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-02,true
auditReport-16,NP65-zzY1uF,洛伦·伊普森,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
auditReport-17,NP66-zyY1uF,<marquee>Hacked</marquee>,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
auditReport-18,NP67-zzy1uF,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
auditReport-19,NP68-zzyY1F,'' or 'A' = 'A,Lorem ipsum dolor sit amet,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-02,true
# description - standard variations
auditReport-20,VA27-FoA8ivt,Lorem ipsum dolor sit amet,L,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
auditReport-21,VA28-BFoA8ivt,Lorem ipsum dolor sit amet,Lo,2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-02,true
auditReport-22,VA29-BFoA8ivtE,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor ",2100/07/15 00:00,2100/07/16 00:00,"http://lorem.com/ipsum",auditor-01,true
