key,ticker,name,description,startMoment,endMoment,moreInfo,draftMode,key:spokesperson
campaign-published-01,AB01-X0001,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,false,spokesperson-01
campaign-published-02,AC02-X0002,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,false,spokesperson-02
campaign-name-base,AD03-X0003,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-name-case-01,AE04-X0004,L,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-name-case-02,AF05-X0005,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-name-case-03,AG06-X0006,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-name-case-04,AH07-X0007,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-name-case-05,AI08-X0008,โลเร็ม อปิซัม,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-name-case-06,AJ09-X0009,لوريم إيبسوم,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-name-case-07,AK10-X0010,洛伦·伊普森,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-name-case-08,AL11-X0011,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-name-case-09,AM12-X0012,<script>alert('Hacked!');</script>,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-name-case-10,AN13-X0013,' or 'A' = 'A,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-description-base,AO14-X0014,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-description-case-01,AP15-X0015,Lorem ipsum,L,2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-description-case-02,AQ16-X0016,Lorem ipsum,Lo,2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-description-case-03,AR17-X0017,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
campaign-description-case-04,AS18-X0018,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",2025/01/08 00:00,2025/02/08 00:00,http://lorem.com/ipsum,true,spokesperson-01
