key,title,achievements,effort,kind,key:campaign
milestone-01,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-02,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-02
milestone-03,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",25.00,ENGAGING,campaign-published-03
milestone-04,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",35.00,CONVERSION,campaign-published-04
milestone-05,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",10.00,TEASER,campaign-published-05
milestone-06,Lorem ipsum,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-07,L,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-08,Lo,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-09,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod te","Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-10,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do eiusmod tem","Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-11,à¹‚à¸¥à¹€à¸£à¹‡à¸¡ à¸­à¸›à¸´à¸‹à¸±à¸¡,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-12,Ù„ÙˆØ±ÙŠÙ… Ø¥ÙŠØ¨Ø³ÙˆÙ…,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-13,"?????????????????","Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
milestone-14,<marquee>Hacked</marquee>,"Lorem ipsum dolor sit amet, consectetur adipiscing",50.00,TEASER,campaign-published-01
