key,name,description,cost,kind,key:invention
# Base Entity
part-01,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,EUR 50.00,CORE,invention-01
# Name - Standard @ValidHeader variations
# Associate one part to a published invention
part-02,L,Lorem ipsum dolor sit amet,EUR 50.00,CORE,invention-51
part-03,Lo,Lorem ipsum dolor sit amet,EUR 50.00,CORE,invention-02
part-04,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t",Lorem ipsum dolor sit amet,EUR 50.00,CORE,invention-03
part-05,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te",Lorem ipsum dolor sit amet,EUR 50.00,CORE,invention-04
part-06,โลเร็ม อิปซัม,Lorem ipsum dolor sit amet,EUR 50.00,CORE,invention-05
part-07,لوريم إيبسوم,Lorem ipsum dolor sit amet,EUR 50.00,CORE,invention-06
part-08,洛伦·伊普森,Lorem ipsum dolor sit amet,EUR 50.00,CORE,invention-07
part-09,<marquee>Hacked</marquee>,Lorem ipsum dolor sit amet,EUR 50.00,CORE,invention-08
part-10,<script>alert('Hacked!');</script>,Lorem ipsum dolor sit amet,EUR 50.00,CORE,invention-09
part-11,' or 'A' = 'A,Lorem ipsum dolor sit amet,EUR 50.00,CORE,invention-10
# Description - Standard variations
part-12,Lorem ipsum dolor sit amet,L,EUR 50.00,CORE,invention-11
part-13,Lorem ipsum dolor sit amet,Lo,EUR 50.00,CORE,invention-12
part-14,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod t",EUR 50.00,CORE,invention-13
part-15,Lorem ipsum dolor sit amet,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod te",EUR 50.00,CORE,invention-14
part-16,Lorem ipsum dolor sit amet,โลเร็ม อิปซัม,EUR 50.00,CORE,invention-15
part-17,Lorem ipsum dolor sit amet,لوريم إيبسوم,EUR 50.00,CORE,invention-16
part-18,Lorem ipsum dolor sit amet,洛伦·伊普森,EUR 50.00,CORE,invention-17
part-19,Lorem ipsum dolor sit amet,<marquee>Hacked</marquee>,EUR 50.00,CORE,invention-18
part-20,Lorem ipsum dolor sit amet,<script>alert('Hacked!');</script>,EUR 50.00,CORE,invention-19
part-21,Lorem ipsum dolor sit amet,' or 'A' = 'A,EUR 50.00,CORE,invention-20
# Cost - Standard @ValidMoney variations
part-22,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,EUR 0.00,CORE,invention-21
part-23,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,EUR 0.01,CORE,invention-22
part-24,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,EUR 999999.99,CORE,invention-23
part-25,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,EUR 1000000.00,CORE,invention-24
# Kind - Standard variations
part-26,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,EUR 50.00,CORE,invention-25
part-27,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,EUR 50.00,MANDATORY,invention-26
part-28,Lorem ipsum dolor sit amet,Lorem ipsum dolor sit amet,EUR 50.00,OPTIONAL,invention-27
